ID	region	location	collection_date	dataset	genus	species	sub_species	Site	blast_note	ID+species
MZ936288.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: MZ936288.1
MN025740.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator	complex sp. 1 TD-2019			Rhinolophus simulator: MN025740.1
MN025605.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 1 TD-2019			Rhinolophus clivosus: MN025605.1
OR028838.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: OR028838.1
MZ936285.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: MZ936285.1
MN025741.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator	complex sp. 1 TD-2019			Rhinolophus simulator: MN025741.1
MN025647.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus deckenii				Rhinolophus deckenii: MN025647.1
MN025603.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 1 TD-2019			Rhinolophus clivosus: MN025603.1
MN025645.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus deckenii				Rhinolophus deckenii: MN025645.1
MZ936292.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: MZ936292.1
MN025709.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus fumigatus/eloquens	complex sp. 7 TD-2019			Rhinolophus fumigatus/eloquens: MN025709.1
MN025742.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator	complex sp. 1 TD-2019			Rhinolophus simulator: MN025742.1
OR028837.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: OR028837.1
MN025699.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus fumigatus/eloquens	complex sp. 4 TD-2019			Rhinolophus fumigatus/eloquens: MN025699.1
MZ936287.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: MZ936287.1
MN025572.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii	complex sp. 1 TD-2019			Rhinolophus blasii: MN025572.1
MN025571.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii	complex sp. 1 TD-2019			Rhinolophus blasii: MN025571.1
MN025644.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus deckenii				Rhinolophus deckenii: MN025644.1
MZ936298.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: MZ936298.1
MN025706.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus fumigatus/eloquens	complex sp. 7 TD-2019			Rhinolophus fumigatus/eloquens: MN025706.1
MN025579.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus cf.	denti/simulator TD-2019			Rhinolophus cf.: MN025579.1
MZ936286.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: MZ936286.1
MZ936301.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator				Rhinolophus simulator: MZ936301.1
MN025604.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 1 TD-2019			Rhinolophus clivosus: MN025604.1
MZ936304.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: MZ936304.1
MN025574.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus blasii	complex sp. 1 TD-2019			Rhinolophus blasii: MN025574.1
MZ936293.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: MZ936293.1
MZ936302.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator				Rhinolophus simulator: MZ936302.1
MN025747.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator	complex sp. 1 TD-2019			Rhinolophus simulator: MN025747.1
MN025635.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: MN025635.1
MN025745.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator	complex sp. 1 TD-2019			Rhinolophus simulator: MN025745.1
MN025743.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus simulator	complex sp. 1 TD-2019			Rhinolophus simulator: MN025743.1
MN025648.1	Africa	Malawi		blast	Rhinolophus	Rhinolophus deckenii				Rhinolophus deckenii: MN025648.1
KU531265.1	Africa	Malawi: Mount Mulanje		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: KU531265.1
MT149819.1	East and south east asia	Malaysia		blast	Hipposideros	Hipposideros larvatus				Hipposideros larvatus: MT149819.1
MT149820.1	East and south east asia	Malaysia		blast	Hipposideros	Hipposideros larvatus				Hipposideros larvatus: MT149820.1
MT149813.1	East and south east asia	Malaysia		blast	Hipposideros	Hipposideros cf.	bicolor TD-2020			Hipposideros cf.: MT149813.1
MG560960.1	East and south east asia	Malaysia		blast	Rhinolophus	Rhinolophus philippinensis				Rhinolophus philippinensis: MG560960.1
NC_061262.1	East and south east asia	Malaysia		blast	Rhinolophus	Rhinolophus philippinensis				Rhinolophus philippinensis: NC_061262.1
OL855915.1	East and south east asia	"Malaysia: Danum Valley, Sabah"	14-Jul-21	blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: OL855915.1
OL855895.1	East and south east asia	"Malaysia: Danum Valley, Sabah"	13-Jul-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855895.1
OL855920.1	East and south east asia	"Malaysia: Danum Valley, Sabah"	14-Jul-21	blast	Hipposideros	Hipposideros dyacorum				Hipposideros dyacorum: OL855920.1
OL855897.1	East and south east asia	"Malaysia: Danum Valley, Sabah"	13-Jul-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855897.1
OL855909.1	East and south east asia	"Malaysia: Danum Valley, Sabah"	13-Jul-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855909.1
OQ560338.1	East and south east asia	"Malaysia: Danum Valley, Sabah"		blast	Rhinolophus	Rhinolophus acuminatus				Rhinolophus acuminatus: OQ560338.1
DQ219421.1	East and south east asia	"Malaysia: Gomantong Caves, Sabah, Borneo"		blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: DQ219421.1
OL855899.1	East and south east asia	"Malaysia: Gomantong, Sabah"	17-Mar-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855899.1
OL855901.1	East and south east asia	"Malaysia: Gomantong, Sabah"	17-Mar-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855901.1
OL855914.1	East and south east asia	"Malaysia: Gomantong, Sabah"	16-Mar-21	blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: OL855914.1
OL855917.1	East and south east asia	"Malaysia: Gomantong, Sabah"	16-Mar-21	blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: OL855917.1
OL855906.1	East and south east asia	"Malaysia: Gomantong, Sabah"	17-Mar-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855906.1
OQ511268.1	East and south east asia	"Malaysia: Gua Gomantong, Sabah"		blast	Rhinolophus	Rhinolophus borneensis				Rhinolophus borneensis: OQ511268.1
OQ511267.1	East and south east asia	"Malaysia: Gua Gomantong, Sabah"		blast	Rhinolophus	Rhinolophus creaghi				Rhinolophus creaghi: OQ511267.1
OQ511266.1	East and south east asia	"Malaysia: Gua Gomantong, Sabah"		blast	Rhinolophus	Rhinolophus creaghi				Rhinolophus creaghi: OQ511266.1
OL855919.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	30-Mar-21	blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: OL855919.1
OL855916.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	02-Apr-21	blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: OL855916.1
OL855896.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	30-Mar-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855896.1
OL855926.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	30-Mar-21	blast	Hipposideros	Hipposideros dyacorum				Hipposideros dyacorum: OL855926.1
OL855900.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	02-Apr-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855900.1
OL855902.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	31-Mar-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855902.1
OL855924.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"	01-Apr-21	blast	Hipposideros	Hipposideros dyacorum				Hipposideros dyacorum: OL855924.1
OQ560333.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"		blast	Rhinolophus	Rhinolophus acuminatus				Rhinolophus acuminatus: OQ560333.1
OQ560331.1	East and south east asia	"Malaysia: Maliau Basin, Sabah"		blast	Rhinolophus	Rhinolophus acuminatus				Rhinolophus acuminatus: OQ560331.1
KP972684.1	East and south east asia	Malaysia: Mount Penrisen Sarawak	18-Aug-06	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: KP972684.1
KP972685.1	East and south east asia	Malaysia: Mount Penrisen Sarawak	18-Aug-06	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: KP972685.1
KP972679.1	East and south east asia	Malaysia: Mount Penrisen Sarawak	18-Aug-06	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: KP972679.1
OQ511264.1	East and south east asia	"Malaysia: Mt Alab, Sabah"		blast	Rhinolophus	Rhinolophus luctus				Rhinolophus luctus: OQ511264.1
OQ511263.1	East and south east asia	"Malaysia: Mt Alab, Sabah"		blast	Rhinolophus	Rhinolophus luctus				Rhinolophus luctus: OQ511263.1
DQ054805.1	East and south east asia	"Malaysia: Sabah, Sepilok Forest Reserve; 5deg52minN,117deg56minE"		blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: DQ054805.1
NC_061570.1	East and south east asia	"Malaysia: Taman Bukit Gading, Selangor"	04-Aug-16	blast	Hipposideros	Hipposideros larvatus				Hipposideros larvatus: NC_061570.1
OL855925.1	East and south east asia	"Malaysia: Tawau Hills, Sabah"	24-Feb-21	blast	Hipposideros	Hipposideros dyacorum				Hipposideros dyacorum: OL855925.1
OL855894.1	East and south east asia	"Malaysia: Tawau Hills, Sabah"	26-Feb-21	blast	Hipposideros	Hipposideros ridleyi				Hipposideros ridleyi: OL855894.1
OL855921.1	East and south east asia	"Malaysia: Tawau Hills, Sabah"	23-Feb-21	blast	Hipposideros	Hipposideros dyacorum				Hipposideros dyacorum: OL855921.1
OL855910.1	East and south east asia	"Malaysia: Tawau Hills, Sabah"	23-Feb-21	blast	Hipposideros	Hipposideros cervinus				Hipposideros cervinus: OL855910.1
PV256475.1	East and south east asia	Malaysia: Terengganu	08-Oct-24	blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: PV256475.1
KU531316.1	Africa	Mali: Canal de Dioro		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531316.1
KU531353.1	Africa	"Mali: Santiguela, Foret de la Faya"		blast	Rhinolophus	Rhinolophus landeri				Rhinolophus landeri: KU531353.1
MN045618.1	Europe and Middle east	Malta		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: MN045618.1
MN045619.1	Europe and Middle east	Malta		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: MN045619.1
MN045616.1	Europe and Middle east	Malta		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: MN045616.1
MN045625.1	Europe and Middle east	Malta		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: MN045625.1
KC978378.1	Europe and Middle east	"Malta: Gozo, Calypso cave"		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978378.1
KC978380.1	Europe and Middle east	"Malta: Gozo, Ghajn Abdul"		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978380.1
OP895216.1	Africa	Morocco		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: OP895216.1
OP895215.1	Africa	Morocco		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: OP895215.1
EU436669.1	Africa	Morocco: Agadir		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: EU436669.1
KC978451.1	Africa	Morocco: Azrou		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978451.1
KF551807.1	Africa	Mozambique		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: KF551807.1
KF551809.1	Africa	Mozambique		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: KF551809.1
KF551816.1	Africa	Mozambique		blast	Hipposideros	Hipposideros ruber				Hipposideros ruber: KF551816.1
KF551805.1	Africa	Mozambique		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: KF551805.1
MN025731.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus lobatus				Rhinolophus lobatus: MN025731.1
MZ936289.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: MZ936289.1
JQ929292.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929292.1
JQ929290.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929290.1
MZ936299.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus mabuensis				Rhinolophus mabuensis: MZ936299.1
MN025650.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus deckenii				Rhinolophus deckenii: MN025650.1
MZ936295.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: MZ936295.1
MZ936308.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus sp.	n. MR-2022			Rhinolophus sp.: MZ936308.1
MZ936300.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus lobatus				Rhinolophus lobatus: MZ936300.1
JQ929301.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929301.1
MN025606.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 1 TD-2019			Rhinolophus clivosus: MN025606.1
MN025649.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus deckenii				Rhinolophus deckenii: MN025649.1
JQ929288.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929288.1
MN025730.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus lobatus				Rhinolophus lobatus: MN025730.1
MZ936294.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: MZ936294.1
MN025733.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus rhodesiae				Rhinolophus rhodesiae: MN025733.1
MN025700.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus fumigatus/eloquens	complex sp. 4 TD-2019			Rhinolophus fumigatus/eloquens: MN025700.1
MZ936296.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: MZ936296.1
MN025549.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus gorongosae				Rhinolophus gorongosae: MN025549.1
MN025701.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus fumigatus/eloquens	complex sp. 4 TD-2019			Rhinolophus fumigatus/eloquens: MN025701.1
MZ936305.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus sp.	n. MR-2022			Rhinolophus sp.: MZ936305.1
MZ936290.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: MZ936290.1
JQ929289.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929289.1
MN025703.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus fumigatus/eloquens	complex sp. 4 TD-2019			Rhinolophus fumigatus/eloquens: MN025703.1
MZ936307.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus sp.	n. MR-2022			Rhinolophus sp.: MZ936307.1
MN025550.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus gorongosae				Rhinolophus gorongosae: MN025550.1
MN025575.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus blasii	complex sp. 1 TD-2019			Rhinolophus blasii: MN025575.1
MN025580.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus cf.	denti/simulator TD-2019			Rhinolophus cf.: MN025580.1
MN025732.1	Africa	Mozambique		blast	Rhinolophus	Rhinolophus lobatus				Rhinolophus lobatus: MN025732.1
MN273498.1	Africa	Mozambique: Inhassoro	21-May-15	blast	Rhinolophus	Rhinolophus rhodesiae				Rhinolophus rhodesiae: MN273498.1
MN273497.1	Africa	Mozambique: Inhassoro	05-Feb-15	blast	Rhinolophus	Rhinolophus lobatus				Rhinolophus lobatus: MN273497.1
JN106264.1	East and south east asia	Myanmar		blast	Rhinolophus	Rhinolophus luctus				Rhinolophus luctus: JN106264.1
MK410323.1	East and south east asia	"Myanmar: Phin Cave, Phalam Township, Chin dstrict"	25-Apr-14	blast	Rhinolophus	Rhinolophus thomasi				Rhinolophus thomasi: MK410323.1
MK410324.1	East and south east asia	"Myanmar: Phin Cave, Phalam Township, Chin dstrict"	25-Apr-14	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: MK410324.1
PP104839.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104839.1
PP104838.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104838.1
PP104841.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104841.1
PP104828.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104828.1
PP104817.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104817.1
PP104823.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104823.1
PP104826.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104826.1
PP104830.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104830.1
PP104824.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104824.1
PP104825.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104825.1
PP104832.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104832.1
PP104831.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104831.1
PP104827.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104827.1
PP104835.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104835.1
PP104837.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104837.1
PP104818.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104818.1
PP104834.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104834.1
PP104840.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104840.1
PP104829.1	Africa	Namibia		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP104829.1
KF683225.1	Africa	Namibia: Arnhem cave	10-Apr	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683225.1
KF683226.1	Africa	Namibia: Arnhem cave	08-Apr-10	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683226.1
KF683227.1	Africa	Namibia: Dante's cave	13-Apr-10	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683227.1
KU531317.1	Africa	Namibia: Dantes Cave		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531317.1
KU531289.1	Africa	Namibia: Dantes Cave		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KU531289.1
KU531300.1	Africa	Namibia: Ghaub Cave		blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KU531300.1
KU531321.1	Africa	Namibia: Ludwig Cave		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531321.1
KU531301.1	Africa	Namibia: Ludwig Cave		blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KU531301.1
KU531320.1	Africa	Namibia: Ludwig Cave		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531320.1
KF683228.1	Africa	Namibia: Maercker cave	08-Apr-10	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683228.1
KU531290.1	Africa	Namibia: Maercker Caves		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KU531290.1
KU531322.1	Africa	Namibia: Naos		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531322.1
KF683229.1	Africa	Namibia: Nooitgedag cave	10-Apr-10	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683229.1
KU531302.1	Africa	Namibia: Nooitgedag Caves		blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KU531302.1
KU531323.1	Africa	Namibia: Nooitgedag Caves		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531323.1
KF683224.1	Africa	Namibia: Oserikari		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683224.1
MN077655.1	East and south east asia	Nepal		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: MN077655.1
MN077654.1	East and south east asia	Nepal		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: MN077654.1
JN106278.1	East and south east asia	Nepal		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: JN106278.1
MN077657.1	East and south east asia	Nepal		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: MN077657.1
OR028819.1	Europe and Middle east	Oman		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: OR028819.1
MT149733.1	East and south east asia	Philippines		blast	Hipposideros	Hipposideros ater				Hipposideros ater: MT149733.1
MT149818.1	East and south east asia	Philippines		blast	Hipposideros	Hipposideros diadema				Hipposideros diadema: MT149818.1
AB444720.1	East and south east asia	Philippines		blast	Rhinolophus	Rhinolophus subrufus				Rhinolophus subrufus: AB444720.1
JN106317.1	East and south east asia	Philippines: Kiamba		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106317.1
JN106268.1	East and south east asia	"Philippines: Luzon Island, Mt. Makiling"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106268.1
JN106296.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106296.1
JN106289.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106289.1
JN106299.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106299.1
JN106303.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106303.1
JN106297.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106297.1
JN106288.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106288.1
JN106302.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106302.1
JN106300.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106300.1
JN106284.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106284.1
JN106298.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106298.1
JN106290.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106290.1
JN106304.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106304.1
JN106287.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106287.1
JN106286.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106286.1
JN106301.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106301.1
JN106306.1	East and south east asia	"Philippines: Luzon Island, Zambales Prov., Municipaity of Masinloc"		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106306.1
JN106307.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus inops/subrufus				Rhinolophus inops/subrufus: JN106307.1
JN106312.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106312.1
JN106313.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus inops/subrufus				Rhinolophus inops/subrufus: JN106313.1
JN106315.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus subrufus/arcuatus				Rhinolophus subrufus/arcuatus: JN106315.1
JN106311.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106311.1
JN106314.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus sp.	LEP-2011			Rhinolophus sp.: JN106314.1
JN106309.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus virgo				Rhinolophus virgo: JN106309.1
JN106310.1	East and south east asia	"Philippines: Mindanao Island, Sarangani Prov., Municipality of Kiamba"		blast	Rhinolophus	Rhinolophus subrufus				Rhinolophus subrufus: JN106310.1
JN106305.1	East and south east asia	"Philippines: Mindoro Island, Mindoro Oriental Prov., Municipality of Baco"		blast	Rhinolophus	Rhinolophus inops/arcuatus				Rhinolophus inops/arcuatus: JN106305.1
